Treatment (1=starvation, 2=Metarhizium);Thallinumber;Day of death;Status (0=alive, 1=dead)
1;2;4;1
1;5;5;1
1;10;1;1
1;11;3;1
1;16;2;1
1;18;8;1
1;20;4;1
1;22;3;1
1;29;4;1
1;30;5;1
1;31;2;1
1;34;2;1
1;45;2;1
1;45;1;1
1;47;3;1
1;48;3;1
1;51;6;1
1;52;2;1
1;55;3;1
1;56;3;1
1;60;4;1
1;62;7;1
1;65;8;1
1;69;3;1
1;69;4;1
1;70;7;1
1;72;6;1
1;73;2;1
1;76;4;1
1;78;2;1
1;81;4;1
1;88;5;1
1;88;1;1
1;89;3;1
1;90;2;1
1;95;2;1
1;99;3;1
1;101;1;1
1;114;1;1
1;118;2;1
1;119;2;1
1;120;2;1
1;120;3;1
1;121;1;1
1;126;2;1
1;127;1;1
1;133;3;1
1;137;2;1
1;144;3;1
1;146;3;1
1;151;3;1
1;152;2;1
1;162;5;1
1;164;2;1
1;168;1;1
1;169;2;1
1;174;1;1
1;190;1;1
1;197;3;1
1;202;1;1
1;205;2;1
1;215;6;1
1;229;3;1
1;234;2;1
1;255;1;1
1;257;1;1
1;263;2;1
1;275;2;1
1;307;2;1
1;377;4;1
2;1;14;0
2;2;14;0
2;4;4;1
2;4;14;0
2;5;2;1
2;6;14;0
2;7;14;0
2;8;4;1
2;9;14;0
2;9;14;0
2;10;14;0
2;10;5;1
2;10;14;0
2;11;14;0
2;12;14;0
2;12;5;1
2;13;7;1
2;14;10;1
2;15;5;1
2;15;5;1
2;18;12;1
2;18;4;1
2;19;5;1
2;19;3;1
2;22;7;1
2;22;4;1
2;23;8;1
2;24;6;1
2;24;14;0
2;25;3;1
2;26;5;1
2;26;6;1
2;28;14;0
2;28;14;0
2;31;1;1
2;33;5;1
2;33;5;1
2;34;14;0
2;35;14;0
2;35;14;0
2;37;10;1
2;37;5;1
2;37;9;1
2;38;4;1
2;39;4;1
2;39;6;1
2;40;14;0
2;40;2;1
2;41;14;0
2;41;6;1
2;42;14;0
2;42;14;0
2;43;5;1
2;43;3;1
2;44;14;0
2;44;4;1
2;45;4;1
2;46;4;1
2;48;4;1
2;49;14;0
2;49;5;1
2;50;10;1
2;50;5;1
2;51;14;0
2;52;5;1
2;52;3;1
2;52;4;1
2;53;14;0
2;54;6;1
2;55;6;1
2;56;14;0
2;56;11;1
2;57;5;1
2;57;2;1
2;59;14;0
2;60;14;0
2;61;2;1
2;62;6;1
2;66;14;0
2;66;7;1
2;66;4;1
2;66;3;1
2;67;3;1
2;68;6;1
2;69;14;0
2;70;6;1
2;70;7;1
2;71;5;1
2;71;4;1
2;73;2;1
2;74;5;1
2;75;14;0
2;75;5;1
2;76;2;1
2;77;4;1
2;78;2;1
2;78;6;1
2;79;8;1
2;80;3;1
2;81;5;1
2;81;14;0
2;84;6;1
2;85;5;1
2;85;14;0
2;85;14;0
2;86;14;0
2;86;14;0
2;87;10;1
2;88;2;1
2;89;14;0
2;90;3;1
2;90;14;0
2;91;3;1
2;92;8;1
2;93;9;1
2;93;14;0
2;94;9;1
2;94;13;1
2;96;14;0
2;97;5;1
2;97;5;1
2;97;14;0
2;99;14;0
2;99;14;0
2;100;1;1
2;100;14;0
2;101;14;0
2;102;9;1
2;103;6;1
2;103;8;1
2;103;14;0
2;104;5;1
2;104;14;0
2;105;8;1
2;107;14;0
2;110;4;1
2;113;7;1
2;114;5;1
2;114;14;0
2;117;2;1
2;118;14;0
2;119;3;1
2;121;14;0
2;121;14;0
2;121;14;0
2;123;14;0
2;124;14;0
2;124;14;0
2;125;5;1
2;128;14;0
2;129;14;0
2;131;5;1
2;132;5;1
2;134;9;1
2;135;14;0
2;136;2;1
2;138;14;0
2;138;4;1
2;140;14;0
2;140;14;0
2;142;14;0
2;145;4;1
2;147;7;1
2;147;14;0
2;149;5;1
2;150;14;0
2;151;14;0
2;152;5;1
2;153;14;0
2;155;9;1
2;156;14;0
2;157;7;1
2;157;14;0
2;158;6;1
2;159;14;0
2;161;7;1
2;161;14;0
2;162;5;1
2;163;12;1
2;164;14;0
2;165;14;0
2;166;14;0
2;170;14;0
2;172;14;0
2;175;14;0
2;179;11;1
2;180;14;0
2;187;14;0
2;194;14;0
2;196;14;0
2;196;14;0
2;197;14;0
2;199;14;0
2;201;3;1
2;204;5;1
2;210;3;1
2;215;14;0
2;216;14;0
2;217;4;1
2;217;3;1
2;226;6;1
2;229;14;0
2;232;11;1
2;241;14;0
2;241;12;1
2;244;14;0
2;250;3;1
2;251;5;1
2;256;6;1
2;258;7;1
2;262;14;0
2;263;14;0
2;264;14;0
2;277;5;1
2;285;6;1
2;293;14;0
2;298;14;0
2;299;5;1
2;301;14;0
2;304;6;1
2;309;9;1
2;312;1;1
2;313;14;0
2;320;14;0
2;333;14;0
2;338;14;0
2;359;7;1
2;421;3;1
